qid,n_words,t_suf_global,phi_suf_global,t_suf_perq,phi_suf_perq
test482,8,7,0.875,,
test483,8,,,,
test484,8,,,8,1.0
test485,10,,,,
test486,10,,,,
test487,8,,,,
test488,10,,,,
test489,9,,,,
test490,10,,,,
test491,9,,,,
test492,8,8,1.0,,
test493,9,,,,
test494,13,13,1.0,,
test495,8,,,,
test496,9,8,0.8889,5,0.5556
test497,14,,,,
test498,10,,,7,0.7
test499,8,,,,
test500,8,8,1.0,,
test501,8,,,,
test502,9,,,,
test503,8,,,,
test504,9,3,0.3333,3,0.3333
test505,9,6,0.6667,,
test506,8,,,,
test507,9,,,,
test508,9,,,,
test509,8,,,,
test510,9,,,,
test511,8,,,,
test512,8,6,0.75,,
test513,8,,,3,0.375
test514,8,,,,
test515,9,,,,
test516,9,8,0.8889,,
test517,8,5,0.625,5,0.625
test518,10,10,1.0,,
test519,15,13,0.8667,13,0.8667
test520,9,5,0.5556,,
test521,11,,,,
test522,11,5,0.4545,5,0.4545
test523,8,5,0.625,8,1.0
test524,9,,,,
test525,8,,,5,0.625
test526,10,9,0.9,9,0.9
test527,8,3,0.375,3,0.375
test528,8,8,1.0,,
test529,12,,,,
test530,8,,,,
test531,10,,,,
test532,13,,,,
test533,8,,,,
test534,8,,,,
test535,8,,,,
test536,8,,,,
test537,11,,,,
test538,9,3,0.3333,,
test539,9,,,,
test540,8,1,0.125,1,0.125
test541,8,7,0.875,4,0.5
test542,9,9,1.0,,
test543,11,,,,
test544,8,,,,
test545,8,8,1.0,,
test546,10,,,2,0.2
test547,8,,,7,0.875
test548,8,8,1.0,,
test549,10,4,0.4,3,0.3
test550,9,,,,
test551,10,,,,
test552,9,,,,
test553,10,,,,
test554,9,6,0.6667,,
test555,9,,,,
test556,8,5,0.625,6,0.75
test557,8,,,,
test558,8,6,0.75,,
test559,9,,,,
test560,8,,,,
test561,7,,,,
test562,11,8,0.7273,1,0.0909
test563,8,3,0.375,,
test564,10,10,1.0,10,1.0
test565,7,,,,
test566,9,3,0.3333,5,0.5556
test567,8,,,,
test568,5,4,0.8,5,1.0
test569,10,,,,
test570,8,,,,
test571,14,2,0.1429,1,0.0714
test572,8,7,0.875,,
test573,15,,,,
test574,9,4,0.4444,,
test575,12,,,,
test576,8,6,0.75,,
test577,13,,,,
test578,8,,,,
test579,10,,,,
test580,11,,,,
test581,9,,,,
test582,10,4,0.4,4,0.4
test583,8,4,0.5,,
test584,13,,,,
test585,8,8,1.0,,
test586,8,,,,
test587,9,8,0.8889,,
test588,9,,,,
test589,9,,,,
test590,10,7,0.7,,
test591,9,7,0.7778,7,0.7778
test592,11,11,1.0,11,1.0
test593,8,,,,
test594,8,,,,
test595,10,10,1.0,,
test596,9,9,1.0,,
test597,9,,,6,0.6667
test598,8,,,,
test599,8,8,1.0,,
test600,10,8,0.8,,
test601,8,,,,
test602,9,,,,
test603,8,,,,
test604,9,,,,
test605,8,5,0.625,8,1.0
test606,10,,,,
test607,9,,,,
test608,10,,,,
test609,9,,,,
test610,8,,,,
test611,8,,,,
test612,9,,,,
test613,9,6,0.6667,7,0.7778
test614,9,,,,
test615,12,5,0.4167,5,0.4167
test616,9,,,,
test617,10,10,1.0,,
test618,9,7,0.7778,,
test619,9,6,0.6667,,
test620,8,7,0.875,,
test621,9,,,,
test622,8,,,,
test623,8,7,0.875,,
test624,11,10,0.9091,9,0.8182
test625,9,4,0.4444,7,0.7778
test626,8,5,0.625,,
test627,10,,,,
test628,8,,,,
test629,9,3,0.3333,1,0.1111
test630,9,,,,
test631,8,,,,
test632,8,,,,
test633,8,5,0.625,1,0.125
test634,8,,,,
test635,10,,,,
test636,8,,,,
test637,8,,,,
test638,8,,,6,0.75
test639,8,,,,
test640,8,,,,
test641,9,8,0.8889,6,0.6667
test642,8,,,,
test643,8,4,0.5,,
test644,8,,,,
test645,10,,,,
test646,7,7,1.0,,
test647,11,,,5,0.4545
test648,10,,,,
test649,10,10,1.0,,
test650,7,6,0.8571,6,0.8571
test651,8,,,,
test652,10,,,,
test653,8,,,,
test654,11,,,,
test655,8,,,,
test656,8,6,0.75,6,0.75
test657,11,,,,
test658,11,10,0.9091,1,0.0909
test659,11,,,,
test660,13,8,0.6154,12,0.9231
test661,8,7,0.875,,
test662,8,8,1.0,,
test663,8,,,,
test664,10,,,,
test665,9,,,,
test666,14,,,,
test667,10,,,,
test668,8,,,,
test669,8,,,,
test670,8,,,7,0.875
test671,16,,,,
test672,9,,,,
test673,8,,,,
test674,12,,,,
test675,8,,,,
test676,9,,,,
test677,10,9,0.9,,
test678,9,8,0.8889,,
test679,12,7,0.5833,4,0.3333
test680,9,9,1.0,,
test681,12,,,,
test682,8,,,,
test683,7,5,0.7143,,
test684,8,,,,
test685,11,8,0.7273,,
test686,8,,,,
test687,13,7,0.5385,3,0.2308
test688,8,,,,
test689,11,,,,
test690,8,,,,
test691,10,5,0.5,9,0.9
test692,8,,,,
test693,8,6,0.75,,
test694,8,,,,
test695,9,,,,
test696,8,7,0.875,7,0.875
test697,9,,,,
test698,10,,,,
test699,8,5,0.625,,
test700,8,8,1.0,,
test701,9,,,,
test702,9,5,0.5556,6,0.6667
test703,9,8,0.8889,4,0.4444
test704,8,,,4,0.5
test705,8,7,0.875,,
test706,13,2,0.1538,1,0.0769
test707,10,,,,
test708,8,,,,
test709,9,,,,
test710,14,,,,
test711,8,,,,
test712,8,,,,
test713,9,,,,
test714,10,,,,
test715,9,9,1.0,,
test716,9,,,,
test717,8,8,1.0,7,0.875
test718,8,,,,
test719,12,,,,
test720,8,,,,
test721,11,,,,
test722,8,,,,
test723,8,,,4,0.5
test724,8,,,,
test725,8,7,0.875,,
test726,8,3,0.375,1,0.125
test727,8,,,,
test728,9,4,0.4444,1,0.1111
test729,9,,,,
test730,8,6,0.75,8,1.0
test731,8,4,0.5,6,0.75
test732,8,,,,
test733,9,7,0.7778,,
test734,8,,,7,0.875
test735,8,,,3,0.375
test736,13,,,,
test737,8,,,,
test738,7,,,2,0.2857
test739,8,6,0.75,,
test740,10,,,5,0.5
test741,8,,,,
test742,8,6,0.75,,
test743,9,,,,
test744,12,,,,
test745,12,8,0.6667,6,0.5
test746,11,,,,
test747,8,4,0.5,4,0.5
test748,10,,,,
test749,8,8,1.0,8,1.0
test750,8,,,,
test751,8,6,0.75,,
test752,9,,,,
test753,10,,,7,0.7
test754,14,10,0.7143,9,0.6429
test755,8,,,,
test756,9,,,,
test757,10,,,,
test758,8,,,,
test759,10,,,,
test760,8,7,0.875,,
test761,8,6,0.75,,
test762,8,7,0.875,,
test763,8,,,,
test764,8,,,,
test765,8,5,0.625,,
test766,9,9,1.0,,
test767,8,7,0.875,,
test768,9,,,,
test769,8,5,0.625,6,0.75
test770,8,,,,
test771,12,,,,
test772,8,6,0.75,2,0.25
test773,8,,,,
test774,8,,,,
test775,8,,,,
test776,12,,,,
test777,8,,,,
test778,11,,,,
test779,8,,,,
test780,9,,,,
test781,8,5,0.625,,
test782,9,,,,
test783,8,2,0.25,5,0.625
test784,8,7,0.875,,
test785,12,,,,
test786,8,,,,
test787,11,,,,
test788,8,8,1.0,,
test789,13,,,,
test790,8,,,,
test791,8,3,0.375,4,0.5
test792,8,,,,
test793,8,4,0.5,4,0.5
test794,8,7,0.875,,
test795,8,7,0.875,7,0.875
test796,8,,,,
test797,8,,,,
test798,9,,,,
test799,11,,,,
test800,8,,,,
test801,8,,,,
test802,11,,,,
test803,8,,,,
test804,8,8,1.0,8,1.0
test805,10,,,,
test806,13,,,,
test807,8,,,,
test808,9,,,,
test809,9,,,,
test810,9,7,0.7778,,
test811,13,,,,
test812,9,,,,
test813,8,,,,
test814,17,,,,
test815,8,,,,
test816,9,,,,
test817,8,,,,
test818,15,2,0.1333,1,0.0667
test819,11,,,,
test820,7,,,7,1.0
test821,8,,,,
test822,11,,,,
test823,8,5,0.625,8,1.0
test824,8,,,,
test825,8,,,,
test826,10,,,,
test827,8,,,,
test828,14,,,,
test829,8,,,,
test830,7,,,,
test831,8,,,4,0.5
test832,8,,,2,0.25
test833,10,9,0.9,9,0.9
test834,8,5,0.625,5,0.625
test835,8,,,,
test836,13,,,,
test837,8,,,,
test838,9,,,,
test839,8,6,0.75,3,0.375
test840,9,,,,
test841,8,,,,
test842,10,5,0.5,2,0.2
test843,10,,,,
test844,8,5,0.625,5,0.625
test845,8,,,,
test846,8,7,0.875,,
test847,8,8,1.0,,
test848,14,,,,
test849,8,,,8,1.0
test850,9,,,9,1.0
test851,10,,,,
test852,8,,,,
test853,9,,,,
test854,9,,,,
test855,9,,,,
test856,7,,,,
test857,13,,,,
test858,9,9,1.0,,
test859,11,,,,
test860,8,,,,
test861,8,,,,
test862,10,6,0.6,6,0.6
test863,8,,,,
test864,9,,,,
test865,10,,,,
test866,8,7,0.875,,
test867,9,,,,
test868,9,,,,
test869,9,8,0.8889,,
test870,9,6,0.6667,,
test871,15,,,,
test872,8,,,,
test873,8,7,0.875,,
test874,8,,,,
test875,8,,,,
test876,8,5,0.625,,
test877,8,,,,
test878,10,,,,
test879,8,,,,
test880,14,6,0.4286,6,0.4286
test881,8,8,1.0,,
test882,12,,,,
test883,9,5,0.5556,,
test884,8,,,,
test885,8,,,,
test886,8,7,0.875,,
test887,11,10,0.9091,2,0.1818
test888,9,,,,
test889,9,9,1.0,,
test890,8,,,,
test891,8,8,1.0,8,1.0
test892,8,,,,
test893,9,8,0.8889,,
test894,10,,,3,0.3
test895,7,4,0.5714,,
test896,8,,,,
test897,7,,,1,0.1429
test898,9,5,0.5556,,
test899,10,9,0.9,9,0.9
test900,8,,,,
test901,13,7,0.5385,7,0.5385
test902,8,8,1.0,,
test903,10,10,1.0,,
test904,9,,,,
test905,7,6,0.8571,,
test906,16,,,,
test907,10,,,,
test908,8,,,,
test909,12,6,0.5,2,0.1667
test910,10,6,0.6,,
test911,8,6,0.75,7,0.875
test912,9,,,4,0.4444
test913,8,4,0.5,5,0.625
test914,15,9,0.6,11,0.7333
test915,8,8,1.0,,
test916,8,,,,
test917,10,,,,
test918,10,,,,
test919,8,,,,
test920,8,3,0.375,,
test921,11,11,1.0,,
test922,9,,,,
test923,9,6,0.6667,,
test924,12,4,0.3333,3,0.25
test925,8,,,,
test926,9,,,,
test927,9,,,,
test928,8,,,,
test929,8,7,0.875,,
test930,10,,,,
test931,10,,,,
test932,8,,,,
test933,9,,,,
test934,8,,,,
test935,8,,,,
test936,9,,,,
test937,9,,,,
test938,9,,,,
test939,9,,,,
test940,8,,,,
test941,7,,,,
test942,10,,,,
test943,8,6,0.75,,
test944,14,14,1.0,8,0.5714
test945,10,,,,
test946,7,,,,
test947,8,,,,
test948,10,,,,
test949,13,,,,
test950,17,9,0.5294,1,0.0588
test951,10,,,7,0.7
test952,8,,,,
test953,11,,,,
test954,10,,,,
test955,9,,,,
test956,9,,,,
test957,8,,,,
test958,8,8,1.0,,
test959,8,6,0.75,6,0.75
test960,9,,,,
test961,8,6,0.75,,
test962,10,8,0.8,8,0.8
test963,9,,,,
test964,9,9,1.0,9,1.0
test965,14,,,,
test966,8,4,0.5,4,0.5
test967,11,,,,
test968,7,4,0.5714,4,0.5714
test969,8,7,0.875,2,0.25
test970,11,10,0.9091,,
test971,8,,,,
test972,8,,,,
test973,8,,,,
test974,9,,,,
test975,8,4,0.5,4,0.5
test976,10,,,,
test977,13,,,,
test978,8,7,0.875,,
test979,8,,,,
test980,8,7,0.875,7,0.875
test981,13,,,,
test982,10,5,0.5,4,0.4
test983,10,,,,
test984,11,,,,
test985,8,7,0.875,,
test986,9,,,,
test987,11,7,0.6364,,
test988,8,,,,
test989,8,7,0.875,,
test990,12,6,0.5,8,0.6667
test991,8,6,0.75,7,0.875
test992,8,7,0.875,8,1.0
test993,11,,,,
test994,9,6,0.6667,,
test995,9,,,,
test996,7,5,0.7143,7,1.0
test997,8,,,,
test998,9,7,0.7778,7,0.7778
test999,7,,,,
test1000,15,,,6,0.4
test1001,14,,,,
test1002,9,,,,
test1003,9,,,,
test1004,9,,,,
test1005,8,8,1.0,,
test1006,8,,,,
test1007,8,,,,
test1008,8,,,,
test1009,8,,,3,0.375
test1010,9,,,,
test1011,11,,,,
test1012,8,8,1.0,8,1.0
test1013,9,,,4,0.4444
test1014,7,,,,
test1015,8,,,,
test1016,7,,,,
test1017,10,,,,
test1018,8,8,1.0,,
test1019,8,5,0.625,8,1.0
test1020,14,,,,
test1021,8,6,0.75,,
test1022,8,,,,
test1023,8,6,0.75,,
test1024,8,,,,
test1025,10,10,1.0,,
test1026,8,4,0.5,7,0.875
test1027,9,,,,
test1028,8,,,,
test1029,8,6,0.75,,
test1030,8,5,0.625,,
test1031,8,7,0.875,7,0.875
test1032,8,,,,
test1033,9,,,,
test1034,8,,,,
test1035,8,2,0.25,1,0.125
test1036,8,,,,
test1037,8,,,,
test1038,8,6,0.75,,
test1039,8,,,,
test1040,8,,,,
test1041,8,7,0.875,,
test1042,8,,,,
test1043,12,11,0.9167,,
test1044,8,,,,
test1045,8,5,0.625,2,0.25
test1046,8,,,,
test1047,10,,,,
test1048,10,,,,
test1049,8,5,0.625,,
test1050,10,10,1.0,4,0.4
test1051,10,4,0.4,6,0.6
test1052,12,5,0.4167,,
test1053,8,,,,
test1054,8,6,0.75,,
test1055,11,11,1.0,,
test1056,11,,,,
test1057,8,,,,
test1058,8,8,1.0,8,1.0
test1059,8,,,,
test1060,12,4,0.3333,4,0.3333
test1061,8,4,0.5,8,1.0
test1062,8,,,,
test1063,8,7,0.875,,
test1064,9,9,1.0,,
test1065,9,9,1.0,,
test1066,8,4,0.5,4,0.5
test1067,8,,,,
test1068,10,,,4,0.4
test1069,10,,,,
test1070,8,,,,
test1071,8,6,0.75,,
test1072,9,,,,
test1073,8,,,,
test1074,10,6,0.6,8,0.8
test1075,8,,,,
test1076,8,,,,
test1077,10,,,,
test1078,9,,,,
test1079,8,,,,
test1080,9,4,0.4444,,
test1081,11,,,,
test1082,8,5,0.625,,
test1083,13,,,,
test1084,8,,,,
test1085,9,5,0.5556,3,0.3333
test1086,8,5,0.625,,
test1087,9,4,0.4444,1,0.1111
test1088,8,,,,
test1089,8,,,,
test1090,13,,,,
test1091,9,,,,
test1092,9,,,,
test1093,8,,,,
test1094,9,6,0.6667,,
test1095,8,,,,
test1096,8,,,,
test1097,8,,,,
test1098,10,10,1.0,,
test1099,9,,,,
test1100,9,9,1.0,,
test1101,9,,,,
test1102,8,,,,
test1103,9,,,6,0.6667
test1104,8,,,,
test1105,10,7,0.7,,
test1106,9,,,,
test1107,13,7,0.5385,7,0.5385
test1108,8,,,,
test1109,9,7,0.7778,8,0.8889
test1110,13,10,0.7692,,
test1111,7,,,,
test1112,7,5,0.7143,,
test1113,10,7,0.7,,
test1114,8,,,,
test1115,8,,,,
test1116,10,,,,
test1117,8,,,,
test1118,10,,,,
test1119,8,3,0.375,3,0.375
test1120,8,,,,
test1121,8,,,,
test1122,10,10,1.0,,
test1123,9,,,,
test1124,8,,,,
test1125,8,6,0.75,6,0.75
test1126,13,,,,
test1127,8,,,,
test1128,12,,,,
test1129,12,9,0.75,9,0.75
test1130,8,,,,
test1131,9,9,1.0,9,1.0
test1132,14,8,0.5714,7,0.5
test1133,12,,,2,0.1667
test1134,9,4,0.4444,4,0.4444
test1135,8,3,0.375,8,1.0
test1136,9,,,,
test1137,9,,,,
test1138,8,,,,
test1139,10,2,0.2,1,0.1
test1140,9,3,0.3333,9,1.0
test1141,10,,,,
test1142,9,8,0.8889,9,1.0
test1143,8,,,,
test1144,8,,,,
test1145,8,,,,
test1146,11,,,,
test1147,8,,,,
test1148,8,2,0.25,1,0.125
test1149,17,,,,
test1150,10,,,,
test1151,8,8,1.0,,
test1152,8,6,0.75,,
test1153,15,,,,
test1154,8,,,,
test1155,12,,,5,0.4167
test1156,8,,,,
test1157,8,,,,
test1158,8,,,4,0.5
test1159,8,,,,
test1160,8,,,,
test1161,16,13,0.8125,,
test1162,7,,,,
test1163,8,5,0.625,,
test1164,9,8,0.8889,,
test1165,8,4,0.5,,
test1166,8,,,,
test1167,8,,,,
test1168,7,6,0.8571,,
test1169,9,,,,
test1170,11,,,,
test1171,10,10,1.0,,
test1172,8,8,1.0,8,1.0
test1173,8,,,6,0.75
test1174,9,9,1.0,,
test1175,8,,,,
test1176,8,,,,
test1177,11,,,,
test1178,8,,,,
test1179,8,,,,
test1180,8,,,,
test1181,8,,,,
test1182,10,,,,
test1183,9,,,,
test1184,8,,,,
test1185,8,5,0.625,,
test1186,8,,,,
test1187,11,8,0.7273,,
test1188,8,,,,
test1189,8,4,0.5,,
test1190,11,,,,
test1191,9,,,,
test1192,11,,,,
test1193,9,9,1.0,,
test1194,15,15,1.0,,
